FID_377_El,field_1,F_,Velocidad,VOLUMEN_CO,Distancia,Altitud,Curso,ANO,MES,DIA,HORA,MIN,SEG,Latitud,Longitud,xcoord,ycoord,x_mina,y_mina,RASTERVALU,FID_Pol_SL,Cat_Zona,Pit,Cat_Bench,Bench,Camino,Tramo,Pendiente,MC,Cat_Carga
385563,455452,6424,41,"236021.68","-----",3120,113,2021,9,20,12,56,35,-24.246927,-68.976982,502542.8296,7318782.752,25867.6166,110393.0718,3105.92602539,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385562,455445,6417,46,"236020.73","41315.31",3121,69,2021,9,20,12,56,23,-24.246927,-68.97837,502401.9221,7318782.774,25726.70905,110393.0944,3103.4753418,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385581,539806,90778,14,"259345.08","42978.5",3127,147,2021,9,25,18,29,54,-24.246925,-68.976525,502589.2235,7318782.966,25914.01055,110393.2855,3107.27294922,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385574,515659,66631,43,"249459.79","42358.04",3129,72,2021,9,23,17,59,41,-24.246925,-68.978257,502413.3937,7318782.994,25738.18067,110393.314,3103.34863281,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385384,232673,144887,35,"169746.2","37600.93",3114,124,2021,8,29,3,48,41,-24.246922,-68.976845,502556.7377,7318783.303,25881.52471,110393.6231,3106.28393555,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385473,590377,141461,40,"266227.84","43497",3121,118,2021,9,30,13,8,10,-24.246922,-68.976907,502550.4436,7318783.304,25875.23057,110393.6242,3106.10083008,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385375,230192,142406,38,"169306","-----",3081,331,2021,8,29,1,33,52,-24.246923,-69.004455,499753.8146,7318783.38,23078.60157,110393.7002,3075.18041992,1,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Buff 10 m","",0.0,"",""
385349,182827,67488,14,"150260.61","36488.2",3127,138,2021,8,25,16,39,16,-24.24692,-68.976807,502560.5954,7318783.524,25885.38245,110393.8439,3106.36328125,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385362,228040,140254,43,"-----","-----",3128,71,2021,8,28,23,54,4,-24.24692,-68.978485,502390.2476,7318783.551,25715.03456,110393.8712,3103.06762695,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385336,180723,65384,37,"149923.27","36460.01",3123,49,2021,8,25,14,12,18,-24.24692,-68.978623,502376.238,7318783.553,25701.02502,110393.8734,3108.09448242,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385395,338854,144141,29,"-----","-----",3087,326,2021,9,16,1,47,26,-24.24692,-69.004478,499751.4796,7318783.712,23076.26664,110394.0323,3075.10620117,1,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Buff 10 m","",0.0,"",""
385420,358371,163658,37,"219167.46","40111.08",3125,107,2021,9,16,18,31,14,-24.246918,-68.977035,502537.4493,7318783.749,25862.23629,110394.0692,3105.78051758,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385480,593956,145040,37,"266869.47","-----",3117,111,2021,9,30,16,23,4,-24.246917,-68.97705,502535.9265,7318783.86,25860.71353,110394.1802,3105.74169922,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385426,364424,169826,34,"-----","-----",3144,76,2021,9,16,23,35,25,-24.246917,-68.97815,502424.2563,7318783.878,25749.04328,110394.1981,3103.24243164,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385413,358364,163651,44,"219166.37","-----",3123,74,2021,9,16,18,31,3,-24.246917,-68.97821,502418.1652,7318783.879,25742.95217,110394.1991,3103.29223633,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385400,340584,145871,52,"215860.43","-----",3074,99,2021,9,16,3,33,46,-24.246918,-69.002258,499976.8505,7318783.939,23301.63749,110394.2592,3083.36303711,18,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
385432,364430,169832,36,"220625.21","-----",3144,104,2021,9,16,23,35,34,-24.246913,-68.977242,502516.4351,7318784.306,25841.22207,110394.6262,3105.2421875,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385335,180590,65251,25,"-----","-----",3085,100,2021,8,25,14,5,35,-24.246913,-69.002258,499976.8505,7318784.493,23301.63749,110394.8128,3083.36083984,18,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
385445,514342,65314,43,"249119.76","42330.48",3112,73,2021,9,23,16,55,55,-24.24691,-68.978188,502420.3987,7318784.654,25745.1857,110394.9737,3103.24291992,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385474,593950,145034,44,"266868.53","43546.56",3115,73,2021,9,30,16,22,52,-24.24691,-68.978263,502412.7848,7318784.655,25737.57182,110394.9749,3103.30004883,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385408,340710,145997,22,"215897.65","39871.5",3101,117,2021,9,16,3,39,59,-24.246908,-68.976768,502564.5549,7318784.852,25889.34189,110395.1719,3106.49121094,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385451,514546,65518,38,"249159.86","42335.58",3074,321,2021,9,23,17,6,14,-24.246907,-69.004502,499749.0432,7318785.152,23073.83015,110395.4716,3075.00244141,1,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Buff 10 m","",0.0,"",""
385388,338480,143767,49,"215482.06","-----",3069,100,2021,9,16,1,28,15,-24.246907,-69.002533,499948.9329,7318785.157,23273.71991,110395.4766,3081.76708984,18,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
385353,226198,138412,39,"168359.16","-----",3085,100,2021,8,28,22,39,21,-24.246907,-69.002122,499990.657,7318785.157,23315.44398,110395.4773,3083.93481445,18,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
385371,229954,142168,31,"169253.03","37561.32",3127,67,2021,8,29,1,22,4,-24.246905,-68.978408,502398.0647,7318785.211,25722.85173,110395.5308,3103.29052734,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
